dept_name_raw,dept_code,dept_name,abbreviation,dept_major_code,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year
ART MUSEUM SUBSIDY,34,Art Museum,,34,0,0,0,2040000,0,0,0,2040000,2023
AUDITING,61,City Controller's Office,,61,10285869,497450,25000,0,0,0,0,10808319,2023
BOARD OF ETHICS,45,Board of Ethics,,45,1121902,52500,7500,0,0,0,0,1181902,2023
BOARD OF REVISION OF TAXES,63,Board of Revision of Taxes,BRT,63,1057610,37900,17727,0,0,0,0,1113237,2023
CITY COMMISSIONERS,73,City Commissioner's Office,City Commissioners,73,10927174,15485101,2649217,0,0,0,0,29061492,2023
CITY COUNCIL,01,City Council,,01,16325560,5021885,528650,100,0,100,100,21876395,2023
CITY TREASURER,40,Office of the City Treasurer,City Treasurer,40,1579598,3116468,22224,0,0,0,0,4718290,2023
CIVIL SERVICE COMMISSION,55,Civil Service Commission,,55,180988,29500,1094,0,0,0,54000000,54211582,2023
COMMERCE,42,Office of the Director of Commerce,Commerce,42,5380613,9560549,62654,505000,0,0,0,15508816,2023
COMMERCE - CONVENTION CENTER SUBSIDY,42-CC,Commerce: Convention Center Subsidy,,42,0,15000000,0,0,0,0,0,15000000,2023
COMMERCE - ECONOMIC STIMULUS,42-ES,Commerce: Economic Stimulus,,42,0,13334550,0,0,0,0,0,13334550,2023
DISTRICT ATTORNEY,69,District Attorney's Office,DAO,69,40467055,3343738,533417,0,0,0,0,44344210,2023
FINANCE,35,Office of the Director of Finance,Finance,35,10863735,4002420,38616,7820000,0,34066068,0,56790839,2023
FINANCE - BUDGET STABILIZATION RESERVE,35-BSR,Finance: Budget Stabilization Reserve,,35,0,0,0,0,0,40128000,0,40128000,2023
FINANCE - COMMUNITY COLLEGE SUBSIDY,35-CC,Finance: Community College Subsidy,,35,0,0,0,50106653,0,0,0,50106653,2023
FINANCE - EMPLOYEE BENEFITS,35-EB,Finance: Employee Benefits,Employee Benefits,35,1603509081,0,0,0,0,0,0,1603509081,2023
FINANCE - HERO AWARDS,35-HA,Finance: Hero Scholarship Awards,,35,0,0,0,50000,0,0,0,50000,2023
FINANCE - INDEMNITIES,35-IN,Finance: Indemnities,,35,0,0,0,67246000,0,0,0,67246000,2023
FINANCE - REFUNDS,35-R,Finance: Refunds,,35,0,0,0,250000,0,0,0,250000,2023
FINANCE - SCHOOL DISTRICT CONTRIBUTION,35-SD,Finance: School District Contribution,,35,0,0,0,269953201,0,0,0,269953201,2023
FINANCE - WITNESS FEES,35-WF,Finance: Witness Fees,,35,0,171518,0,0,0,0,0,171518,2023
FINANCE-DISABILITY-REG #32 PAYROLL,35-R32,Finance: Reg #32,,35,2800000,0,0,0,0,0,0,2800000,2023
FINANCE-RECESSION RESERVE,35-RR,Finance: Recession Reserve,,35,0,0,0,0,0,0,32000000,32000000,2023
FIRE,13,Fire Department,Fire,13,354321176,7068282,12445064,0,0,7055640,0,380890162,2023
FIRST JUDICIAL DISTRICT,84,First Judicial District,FJD,84,111144985,8643039,2231868,0,0,0,0,122019892,2023
FLEET SERVICES,25,Office of Fleet Management,Fleet,25,20534432,5449396,32257642,0,0,0,0,58241470,2023
FLEET SERVICES - VEHICLE LEASE/PURCHASE,25-V,Fleet: Vehicle Lease/Purchases,,25,0,0,12507852,0,0,0,0,12507852,2023
FREE LIBRARY,52,The Free Library of Philadelphia,Free Library,52,50911555,3496262,4042128,0,0,0,0,58449945,2023
HUMAN RELATIONS COMMISSION,54,Commission on Human Relations,Human Relations,54,2502372,43333,28031,0,0,0,0,2573736,2023
HUMAN SERVICES,22,Department of Human Services,DHS,22,34466970,152645655,2111970,0,0,0,0,189224595,2023
L+I - BOARD OF BUILDING STANDARDS,29,L&I: Board of Building and Standards,,29,84116,0,0,0,0,0,0,84116,2023
L+I - BOARD OF L+I REVIEW,27,L&I: Board of Review,,27,170377,10436,0,0,0,0,0,180813,2023
LABOR,03,Labor,,03,3460299,519617,24420,0,0,0,0,4004336,2023
LAW,44,Law Department,Law,44,15705718,5979915,190676,0,0,0,0,21876309,2023
LICENSES AND INSPECTIONS,26,Department of Licenses and Inspections,L&I,26,26670602,14146162,809475,0,0,0,0,41626239,2023
MANAGING DIRECTOR,10,Managing Director's Office,MDO,10,35167882,90753102,2416018,4300000,0,0,0,132637002,2023
MANAGING DIRECTOR - CITIZENS POLICE OVERSIGHT COMMISSION,10-CP,MDO: Citizens Police Oversight Commission,,10,1085500,1315070,2000,0,0,0,0,2402570,2023
MANAGING DIRECTOR - LEGAL SERVICES (Div 46),10-LS,MDO: Legal Services,,10,0,59844449,0,0,0,0,0,59844449,2023
MAYOR,05,Mayor's Office,Mayor,05,6301957,815680,31341,0,0,0,0,7148978,2023
MAYOR - SCHOLARSHIPS,05-S,Mayor's Office: Scholarships,,05,0,0,0,100000,0,0,0,100000,2023
MURAL ARTS PROGRAM,50,Mural Arts Program,Mural Arts,50,610850,2670610,0,0,0,0,0,3281460,2023
OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,0,0,0,0,0,0,0,0,2023
OFFICE OF BEHAVIORAL HEALTH AND INTELLECTUAL DISABILITY,15,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,3590639,23723599,0,0,0,0,0,27314238,2023
